benchmark,run,result
relative-primes,baseline,1923
relative-primes,tdce,incorrect
relative-primes,lvn,1097
pascals-row,baseline,146
pascals-row,tdce,incorrect
pascals-row,lvn,68
birthday,baseline,484
birthday,tdce,incorrect
birthday,lvn,277
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,incorrect
rectangles-area-difference,lvn,14
digital-root,baseline,247
digital-root,tdce,incorrect
digital-root,lvn,247
primes-between,baseline,574100
primes-between,tdce,incorrect
primes-between,lvn,571439
check-primes,baseline,8468
check-primes,tdce,incorrect
check-primes,lvn,4189
hanoi,baseline,99
hanoi,tdce,incorrect
hanoi,lvn,99
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,incorrect
sum-sq-diff,lvn,1715
up-arrow,baseline,252
up-arrow,tdce,incorrect
up-arrow,lvn,252
loopfact,baseline,116
loopfact,tdce,incorrect
loopfact,lvn,78
perfect,baseline,232
perfect,tdce,incorrect
perfect,lvn,231
bitshift,baseline,167
bitshift,tdce,incorrect
bitshift,lvn,98
ackermann,baseline,1464231
ackermann,tdce,incorrect
ackermann,lvn,1464231
gcd,baseline,46
gcd,tdce,incorrect
gcd,lvn,46
fitsinside,baseline,10
fitsinside,tdce,incorrect
fitsinside,lvn,10
is-decreasing,baseline,127
is-decreasing,tdce,incorrect
is-decreasing,lvn,123
fizz-buzz,baseline,3652
fizz-buzz,tdce,incorrect
fizz-buzz,lvn,2103
bitwise-ops,baseline,1690
bitwise-ops,tdce,incorrect
bitwise-ops,lvn,1689
euclid,baseline,563
euclid,tdce,incorrect
euclid,lvn,271
orders,baseline,5352
orders,tdce,incorrect
orders,lvn,5352
binary-fmt,baseline,100
binary-fmt,tdce,incorrect
binary-fmt,lvn,100
catalan,baseline,659378
catalan,tdce,incorrect
catalan,lvn,659378
reverse,baseline,46
reverse,tdce,incorrect
reverse,lvn,38
armstrong,baseline,133
armstrong,tdce,incorrect
armstrong,lvn,130
lcm,baseline,2326
lcm,tdce,incorrect
lcm,lvn,2326
quadratic,baseline,785
quadratic,tdce,incorrect
quadratic,lvn,500
sum-check,baseline,5018
sum-check,tdce,incorrect
sum-check,lvn,5018
collatz,baseline,169
collatz,tdce,incorrect
collatz,lvn,169
mod_inv,baseline,558
mod_inv,tdce,incorrect
mod_inv,lvn,304
palindrome,baseline,298
palindrome,tdce,incorrect
palindrome,lvn,298
recfact,baseline,104
recfact,tdce,incorrect
recfact,lvn,63
fact,baseline,229
fact,tdce,incorrect
fact,lvn,167
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,incorrect
pythagorean_triple,lvn,61518
sum-divisors,baseline,159
sum-divisors,tdce,incorrect
sum-divisors,lvn,159
totient,baseline,253
totient,tdce,incorrect
totient,lvn,253
factors,baseline,72
factors,tdce,incorrect
factors,lvn,72
sum-bits,baseline,73
sum-bits,tdce,incorrect
sum-bits,lvn,73
